timestamp,bvp
1629797528078,5.33
1629797528093,6.98
1629797528109,8.47
1629797528125,9.76
1629797528140,10.78
1629797528156,11.43
1629797528171,11.7
1629797528187,11.61
1629797528203,11.25
1629797528218,10.76
1629797528234,10.26
1629797528250,9.81
1629797528265,9.48
1629797528281,9.28
1629797528296,9.19
1629797528312,9.18
1629797528328,9.18
1629797528343,9.08
1629797528359,8.81
1629797528375,8.35
1629797528390,7.72
1629797528406,6.98
1629797528421,6.16
1629797528437,5.3
1629797528453,4.4
1629797528468,3.49
1629797528484,2.61
1629797528500,1.82
1629797528515,1.12
1629797528531,0.47
1629797528546,-0.26
1629797528562,-1.13
1629797528578,-2.17
1629797528593,-3.32
1629797528609,-4.46
1629797528625,-5.51
1629797528640,-6.46
1629797528656,-7.36
1629797528671,-8.27
1629797528687,-9.24
1629797528703,-10.25
1629797528718,-11.26
1629797528734,-12.21
1629797528750,-13.11
1629797528765,-13.94
1629797528781,-14.71
1629797528796,-15.36
1629797528812,-15.75
1629797528828,-15.68
1629797528843,-15.0
1629797528859,-13.63
1629797528875,-11.63
1629797528890,-9.18
1629797528906,-6.52
1629797528921,-3.85
1629797528937,-1.29
1629797528953,1.14
1629797528968,3.44
1629797528984,5.57
1629797529000,7.44
1629797529015,8.94
1629797529031,9.97
1629797529046,10.54
1629797529062,10.76
1629797529078,10.79
1629797529093,10.75
1629797529109,10.66
1629797529125,10.5
1629797529140,10.19
1629797529156,9.72
1629797529171,9.13
1629797529187,8.55
1629797529203,8.06
1629797529218,7.73
1629797529234,7.52
1629797529250,7.35
1629797529265,7.12
1629797529281,6.74
1629797529296,6.15
1629797529312,5.36
1629797529328,4.4
1629797529343,3.39
1629797529359,2.43
1629797529375,1.61
1629797529390,0.95
1629797529406,0.39
1629797529421,-0.17
1629797529437,-0.86
1629797529453,-1.7
1629797529468,-2.69
1629797529484,-3.76
1629797529500,-4.85
1629797529515,-5.92
1629797529531,-7.01
1629797529546,-8.12
1629797529562,-9.27
1629797529578,-10.42
1629797529593,-11.56
1629797529609,-12.67
1629797529625,-13.77
1629797529640,-14.86
1629797529656,-15.87
1629797529671,-16.69
1629797529687,-17.13
1629797529703,-17.0
1629797529718,-16.15
1629797529734,-14.57
1629797529750,-12.32
1629797529765,-9.55
1629797529781,-6.49
1629797529796,-3.33
1629797529812,-0.24
1629797529828,2.69
1629797529843,5.45
1629797529859,8.04
1629797529875,10.49
1629797529890,12.72
1629797529906,14.63
1629797529921,16.09
1629797529937,16.99
1629797529953,17.35
1629797529968,17.28
1629797529984,16.96
1629797530000,16.59
1629797530015,16.34
1629797530031,16.27
1629797530046,16.34
1629797530062,16.46
1629797530078,16.45
1629797530093,16.19
1629797530109,15.63
1629797530125,14.8
1629797530140,13.83
1629797530156,12.84
1629797530171,11.89
1629797530187,10.96
1629797530203,9.95
1629797530218,8.79
1629797530234,7.46
1629797530250,6.07
1629797530265,4.75
1629797530281,3.61
1629797530296,2.68
1629797530312,1.85
1629797530328,0.95
1629797530343,-0.17
1629797530359,-1.6
1629797530375,-3.28
1629797530390,-5.08
1629797530406,-6.82
1629797530421,-8.37
1629797530437,-9.7
1629797530453,-10.88
1629797530468,-12.05
1629797530484,-13.38
1629797530500,-14.99
1629797530515,-16.91
1629797530531,-19.07
1629797530546,-21.28
1629797530562,-23.29
1629797530578,-24.83
1629797530593,-25.65
1629797530609,-25.57
1629797530625,-24.51
1629797530640,-22.49
1629797530656,-19.64
1629797530671,-16.18
1629797530687,-12.37
1629797530703,-8.49
1629797530718,-4.76
1629797530734,-1.33
1629797530750,1.81
1629797530765,4.67
1629797530781,7.31
1629797530796,9.74
1629797530812,11.87
1629797530828,13.61
1629797530843,14.88
1629797530859,15.7
1629797530875,16.14
1629797530890,16.29
1629797530906,16.23
1629797530921,15.93
1629797530937,15.37
1629797530953,14.54
1629797530968,13.49
1629797530984,12.35
1629797531000,11.29
1629797531015,10.4
1629797531031,9.71
1629797531046,9.11
