timestamp,hr
1630937421000,66.53
1630937422000,66.53
1630937423000,66.47
1630937424000,66.42
1630937425000,66.35
1630937426000,66.27
1630937427000,66.18
1630937428000,66.12
1630937429000,66.03
1630937430000,65.93
1630937431000,65.8
1630937432000,65.72
1630937433000,65.55
1630937434000,65.38
1630937435000,65.18
1630937436000,64.97
1630937437000,64.77
1630937438000,64.58
1630937439000,64.45
1630937440000,64.6
1630937441000,64.7
1630937442000,64.77
1630937443000,64.83
1630937444000,64.88
1630937445000,64.95
1630937446000,65.02
1630937447000,65.05
1630937448000,65.05
1630937449000,65.02
1630937450000,64.98
1630937451000,64.95
1630937452000,64.9
1630937453000,64.9
1630937454000,64.92
1630937455000,64.92
1630937456000,64.93
1630937457000,64.98
1630937458000,65.0
1630937459000,65.02
1630937460000,65.07
1630937461000,65.08
1630937462000,65.12
1630937463000,65.0
1630937464000,64.93
1630937465000,64.87
1630937466000,64.68
1630937467000,64.52
1630937468000,64.4
1630937469000,64.33
1630937470000,64.28
1630937471000,64.22
1630937472000,64.18
1630937473000,63.92
1630937474000,63.67
1630937475000,63.33
1630937476000,63.03
1630937477000,62.77
1630937478000,62.63
1630937479000,62.6
1630937480000,62.57
1630937481000,62.53
1630937482000,62.43
1630937483000,62.4
1630937484000,62.37
1630937485000,62.35
1630937486000,62.35
1630937487000,62.37
1630937488000,62.37
1630937489000,62.38
1630937490000,62.42
1630937491000,62.5
1630937492000,62.53
1630937493000,62.65
1630937494000,62.77
1630937495000,62.9
1630937496000,63.05
1630937497000,63.2
1630937498000,63.33
1630937499000,63.43
1630937500000,63.25
1630937501000,63.1
1630937502000,62.98
1630937503000,62.88
1630937504000,62.8
1630937505000,62.68
1630937506000,62.57
1630937507000,62.5
1630937508000,62.47
1630937509000,62.45
1630937510000,62.45
1630937511000,62.45
1630937512000,62.45
1630937513000,62.43
1630937514000,62.42
1630937515000,62.42
1630937516000,62.4
1630937517000,62.38
1630937518000,62.38
1630937519000,62.38
1630937520000,62.38
1630937521000,62.4
1630937522000,62.42
1630937523000,62.45
1630937524000,62.48
1630937525000,62.5
1630937526000,62.52
1630937527000,62.53
1630937528000,62.48
1630937529000,62.4
1630937530000,62.23
1630937531000,62.1
1630937532000,61.95
1630937533000,61.83
1630937534000,61.68
1630937535000,61.58
1630937536000,61.53
1630937537000,61.53
1630937538000,61.62
1630937539000,61.78
1630937540000,61.97
1630937541000,62.13
1630937542000,62.28
1630937543000,62.45
1630937544000,62.58
1630937545000,62.7
1630937546000,62.78
1630937547000,62.83
1630937548000,62.87
1630937549000,62.88
1630937550000,62.92
1630937551000,62.93
1630937552000,62.97
1630937553000,63.0
1630937554000,63.03
1630937555000,63.08
1630937556000,63.12
1630937557000,63.15
1630937558000,63.18
1630937559000,63.22
1630937560000,63.28
1630937561000,63.37
1630937562000,63.48
1630937563000,63.62
1630937564000,63.77
1630937565000,63.95
1630937566000,64.13
1630937567000,64.32
1630937568000,64.5
1630937569000,64.68
1630937570000,64.83
1630937571000,64.95
1630937572000,65.05
1630937573000,65.13
1630937574000,65.2
1630937575000,65.25
1630937576000,65.3
1630937577000,65.35
1630937578000,65.38
1630937579000,65.42
1630937580000,65.43
1630937581000,65.45
1630937582000,65.45
1630937583000,65.47
1630937584000,65.48
1630937585000,65.52
1630937586000,65.55
1630937587000,65.58
1630937588000,65.63
1630937589000,65.7
1630937590000,65.78
1630937591000,65.87
1630937592000,65.95
1630937593000,66.05
1630937594000,66.15
1630937595000,66.23
1630937596000,66.3
1630937597000,66.32
1630937598000,66.3
1630937599000,66.25
1630937600000,66.18
1630937601000,66.12
1630937602000,66.07
1630937603000,66.0
1630937604000,65.93
1630937605000,65.9
1630937606000,65.88
1630937607000,65.88
1630937608000,65.9
1630937609000,65.93
1630937610000,65.97
1630937611000,66.0
1630937612000,66.03
1630937613000,66.08
1630937614000,66.15
1630937615000,66.27
