timestamp,eda
1630501821750,0.605055
1630501822000,0.593523
1630501822250,0.585835
1630501822500,0.56149
1630501822750,0.524331
1630501823000,0.256533
1630501823250,0.0
1630501823500,0.0
1630501823750,0.0
1630501824000,0.088412
1630501824250,0.612476
1630501824500,0.599663
1630501824750,0.595819
1630501825000,0.591975
1630501825250,0.216545
1630501825500,0.475374
1630501825750,0.609914
1630501826000,0.131977
1630501826250,0.580443
1630501826500,0.451028
1630501826750,0.613758
1630501827000,0.615039
1630501827250,0.615039
1630501827500,0.611195
1630501827750,0.607351
1630501828000,0.602226
1630501828250,0.595819
1630501828500,0.595819
1630501828750,0.591975
1630501829000,0.589412
1630501829250,0.589412
1630501829500,0.590694
1630501829750,0.590694
1630501830000,0.590694
1630501830250,0.585568
1630501830500,0.588131
1630501830750,0.584287
1630501831000,0.583006
1630501831250,0.584287
1630501831500,0.575318
1630501831750,0.576599
1630501832000,0.576599
1630501832250,0.572755
1630501832500,0.574036
1630501832750,0.574036
1630501833000,0.576599
1630501833250,0.579162
1630501833500,0.57788
1630501833750,0.576599
1630501834000,0.566348
1630501834250,0.572755
1630501834500,0.570192
1630501834750,0.56763
1630501835000,0.570192
1630501835250,0.56763
1630501835500,0.56763
1630501835750,0.571474
1630501836000,0.571474
1630501836250,0.421558
1630501836500,0.140946
1630501836750,0.472811
1630501837000,0.563786
1630501837250,0.559942
1630501837500,0.55866
1630501837750,0.237046
1630501838000,0.142228
1630501838250,0.188356
1630501838500,0.48178
1630501838750,0.139665
1630501839000,0.295987
1630501839250,0.630415
1630501839500,0.658604
1630501839750,0.448466
1630501840000,0.117882
1630501840250,0.026908
1630501840500,0.064067
1630501840750,0.157604
1630501841000,0.092256
1630501841250,0.526627
1630501841500,0.066629
1630501841750,0.111476
1630501842000,0.034596
1630501842250,0.326739
1630501842500,0.347241
1630501842750,0.175542
1630501843000,0.099944
1630501843250,0.047409
1630501843500,0.199888
1630501843750,0.26011
1630501844000,0.451028
1630501844250,0.39465
1630501844500,0.566348
1630501844750,0.442059
1630501845000,0.667573
1630501845250,0.631963
1630501845500,0.496142
1630501845750,0.493579
1630501846000,0.482047
1630501846250,0.483329
