timestamp,bvp
1630932113000,-2.24
1630932113015,-3.36
1630932113031,-4.31
1630932113046,-5.17
1630932113062,-6.14
1630932113078,-7.36
1630932113093,-8.86
1630932113109,-10.56
1630932113125,-12.25
1630932113140,-13.72
1630932113156,-14.88
1630932113171,-15.77
1630932113187,-16.58
1630932113203,-17.52
1630932113218,-18.76
1630932113234,-20.29
1630932113250,-21.88
1630932113265,-23.12
1630932113281,-23.53
1630932113296,-22.65
1630932113312,-20.24
1630932113328,-16.33
1630932113343,-11.19
1630932113359,-5.29
1630932113375,0.79
1630932113390,6.49
1630932113406,11.32
1630932113421,14.87
1630932113437,16.9
1630932113453,17.43
1630932113468,16.65
1630932113484,14.99
1630932113500,12.95
1630932113515,10.96
1630932113531,9.31
1630932113546,8.13
1630932113562,7.4
1630932113578,7.07
1630932113593,7.11
1630932113609,7.47
1630932113625,8.08
1630932113640,8.79
1630932113656,9.43
1630932113671,9.84
1630932113687,9.97
1630932113703,9.85
1630932113718,9.61
1630932113734,9.41
1630932113750,9.33
1630932113765,9.35
1630932113781,9.32
1630932113796,9.05
1630932113812,8.42
1630932113828,7.43
1630932113843,6.19
1630932113859,4.9
1630932113875,3.72
1630932113890,2.66
1630932113906,1.67
1630932113921,0.62
1630932113937,-0.53
1630932113953,-1.76
1630932113968,-3.02
1630932113984,-4.28
1630932114000,-5.56
1630932114015,-6.96
1630932114031,-8.53
1630932114046,-10.21
1630932114062,-11.88
1630932114078,-13.41
1630932114093,-14.7
1630932114109,-15.82
1630932114125,-16.82
1630932114140,-17.84
1630932114156,-18.94
1630932114171,-20.21
1630932114187,-21.66
1630932114203,-23.24
1630932114218,-24.72
1630932114234,-25.63
1630932114250,-25.44
1630932114265,-23.67
1630932114281,-20.17
1630932114296,-15.21
1630932114312,-9.42
1630932114328,-3.53
1630932114343,1.86
1630932114359,6.41
1630932114375,10.07
1630932114390,12.95
1630932114406,15.15
1630932114421,16.72
1630932114437,17.63
1630932114453,17.9
1630932114468,17.58
1630932114484,16.84
1630932114500,15.89
1630932114515,14.91
1630932114531,14.01
1630932114546,13.24
1630932114562,12.57
1630932114578,11.96
1630932114593,11.46
1630932114609,11.14
1630932114625,11.11
1630932114640,11.4
1630932114656,11.97
1630932114671,12.65
1630932114687,13.16
1630932114703,13.3
1630932114718,12.94
1630932114734,12.12
1630932114750,11.01
1630932114765,9.86
1630932114781,8.86
1630932114796,8.14
1630932114812,7.72
1630932114828,7.57
1630932114843,7.62
1630932114859,7.76
1630932114875,7.9
1630932114890,7.96
1630932114906,7.89
1630932114921,7.76
1630932114937,7.67
1630932114953,7.78
1630932114968,8.16
1630932114984,8.74
1630932115000,9.38
1630932115015,9.91
1630932115031,10.28
1630932115046,10.63
1630932115062,11.19
1630932115078,12.15
1630932115093,13.57
1630932115109,15.23
1630932115125,16.84
1630932115140,18.1
1630932115156,18.9
1630932115171,19.33
1630932115187,19.59
1630932115203,19.91
1630932115218,20.44
1630932115234,21.34
1630932115250,22.82
1630932115265,25.14
1630932115281,28.51
1630932115296,32.88
1630932115312,37.69
1630932115328,41.94
1630932115343,44.36
1630932115359,43.87
1630932115375,39.9
1630932115390,32.56
1630932115406,22.54
1630932115421,10.77
1630932115437,-1.78
1630932115453,-14.25
1630932115468,-25.91
1630932115484,-36.12
1630932115500,-44.39
1630932115515,-50.48
1630932115531,-54.53
1630932115546,-57.02
1630932115562,-58.59
1630932115578,-59.76
1630932115593,-60.76
1630932115609,-61.42
1630932115625,-61.39
1630932115640,-60.31
1630932115656,-58.15
1630932115671,-55.23
1630932115687,-52.18
1630932115703,-49.72
1630932115718,-48.3
1630932115734,-47.95
1630932115750,-48.18
1630932115765,-48.19
1630932115781,-47.16
1630932115796,-44.62
1630932115812,-40.58
1630932115828,-35.57
1630932115843,-30.34
1630932115859,-25.66
1630932115875,-22.17
1630932115890,-20.33
1630932115906,-20.44
1630932115921,-22.58
1630932115937,-26.46
1630932115953,-31.27
1630932115968,-35.69
1630932115984,-38.16
1630932116000,-37.42
1630932116015,-32.94
1630932116031,-25.21
1630932116046,-15.56
1630932116062,-5.74
1630932116078,2.65
1630932116093,8.65
1630932116109,12.14
1630932116125,13.75
1630932116140,14.47
1630932116156,15.24
1630932116171,16.62
1630932116187,18.52
1630932116203,20.26
1630932116218,20.79
1630932116234,18.98
1630932116250,14.07
1630932116265,6.03
1630932116281,-4.15
1630932116296,-14.44
1630932116312,-22.05
1630932116328,-24.11
1630932116343,-18.64
1630932116359,-5.38
1630932116375,13.78
1630932116390,35.14
1630932116406,54.17
1630932116421,66.77
1630932116437,70.33
1630932116453,64.26
1630932116468,50.03
1630932116484,30.55
1630932116500,9.45
1630932116515,-9.75
1630932116531,-24.34
1630932116546,-32.92
1630932116562,-35.44
1630932116578,-32.87
1630932116593,-26.61
1630932116609,-18.1
1630932116625,-8.74
1630932116640,-0.1
1630932116656,6.02
1630932116671,8.02
1630932116687,5.15
1630932116703,-1.75
1630932116718,-10.22
1630932116734,-16.96
1630932116750,-19.16
1630932116765,-15.65
1630932116781,-7.09
1630932116796,4.71
1630932116812,17.98
1630932116828,31.86
1630932116843,46.4
1630932116859,61.89
1630932116875,77.87
1630932116890,92.74
1630932116906,104.12
1630932116921,109.71
1630932116937,108.23
1630932116953,99.93
1630932116968,86.4
1630932116984,70.03
1630932117000,53.17
1630932117015,37.61
1630932117031,24.38
1630932117046,13.88
1630932117062,6.09
1630932117078,0.82
1630932117093,-2.34
1630932117109,-4.03
1630932117125,-5.18
1630932117140,-6.86
1630932117156,-9.95
1630932117171,-14.8
1630932117187,-21.03
1630932117203,-27.63
1630932117218,-33.33
1630932117234,-37.18
1630932117250,-38.84
1630932117265,-38.6
1630932117281,-37.14
1630932117296,-35.11
1630932117312,-32.86
1630932117328,-30.41
1630932117343,-27.63
1630932117359,-24.42
1630932117375,-20.82
1630932117390,-17.0
1630932117406,-13.13
1630932117421,-9.33
1630932117437,-5.7
1630932117453,-2.33
1630932117468,0.61
1630932117484,2.97
1630932117500,4.68
1630932117515,5.86
1630932117531,6.74
1630932117546,7.62
1630932117562,8.73
1630932117578,10.12
1630932117593,11.67
1630932117609,13.15
1630932117625,14.39
1630932117640,15.32
1630932117656,16.05
1630932117671,16.74
1630932117687,17.45
1630932117703,17.97
1630932117718,17.92
1630932117734,16.78
1630932117750,14.21
1630932117765,10.18
1630932117781,5.04
1630932117796,-0.69
1630932117812,-6.44
1630932117828,-11.81
1630932117843,-16.65
1630932117859,-21.04
1630932117875,-25.14
1630932117890,-29.17
1630932117906,-33.26
1630932117921,-37.38
1630932117937,-41.41
1630932117953,-45.11
1630932117968,-48.31
1630932117984,-50.93
1630932118000,-53.02
1630932118015,-54.56
1630932118031,-55.33
1630932118046,-54.82
1630932118062,-52.37
1630932118078,-47.55
1630932118093,-40.32
1630932118109,-31.18
1630932118125,-21.01
1630932118140,-10.84
1630932118156,-1.7
1630932118171,5.42
1630932118187,9.67
1630932118203,10.46
1630932118218,7.72
1630932118234,2.15
1630932118250,-4.77
1630932118265,-11.11
1630932118281,-15.09
1630932118296,-15.61
1630932118312,-12.52
1630932118328,-6.47
1630932118343,1.48
1630932118359,10.19
1630932118375,18.66
1630932118390,26.04
1630932118406,31.63
1630932118421,34.96
1630932118437,35.94
1630932118453,34.97
1630932118468,32.82
1630932118484,30.34
1630932118500,28.14
1630932118515,26.4
1630932118531,24.9
1630932118546,23.33
1630932118562,21.53
1630932118578,19.59
1630932118593,17.82
1630932118609,16.45
1630932118625,15.5
1630932118640,14.7
1630932118656,13.65
1630932118671,11.94
1630932118687,9.4
1630932118703,6.08
1630932118718,2.2
1630932118734,-1.97
1630932118750,-6.22
1630932118765,-10.37
1630932118781,-14.31
1630932118796,-17.9
1630932118812,-21.0
1630932118828,-23.44
1630932118843,-25.08
1630932118859,-25.85
1630932118875,-25.79
1630932118890,-24.98
1630932118906,-23.46
1630932118921,-21.25
1630932118937,-18.28
1630932118953,-14.57
1630932118968,-10.32
1630932118984,-5.89
1630932119000,-1.76
1630932119015,1.65
1630932119031,4.09
1630932119046,5.6
1630932119062,6.39
