timestamp,bvp
1630588169000,-12.32
1630588169015,-11.88
1630588169031,-11.97
1630588169046,-13.24
1630588169062,-16.1
1630588169078,-20.55
1630588169093,-26.23
1630588169109,-32.51
1630588169125,-38.58
1630588169140,-43.59
1630588169156,-46.75
1630588169171,-47.46
1630588169187,-45.46
1630588169203,-40.87
1630588169218,-34.26
1630588169234,-26.51
1630588169250,-18.64
1630588169265,-11.54
1630588169281,-5.75
1630588169296,-1.39
1630588169312,1.8
1630588169328,4.23
1630588169343,6.29
1630588169359,8.12
1630588169375,9.63
1630588169390,10.64
1630588169406,11.09
1630588169421,11.11
1630588169437,11.01
1630588169453,11.14
1630588169468,11.69
1630588169484,12.64
1630588169500,13.79
1630588169515,14.9
1630588169531,15.78
1630588169546,16.35
1630588169562,16.58
1630588169578,16.48
1630588169593,16.03
1630588169609,15.24
1630588169625,14.17
1630588169640,12.91
1630588169656,11.53
1630588169671,10.1
1630588169687,8.63
1630588169703,7.14
1630588169718,5.63
1630588169734,4.1
1630588169750,2.57
1630588169765,1.01
1630588169781,-0.59
1630588169796,-2.23
1630588169812,-3.93
1630588169828,-5.71
1630588169843,-7.64
1630588169859,-9.8
1630588169875,-12.28
1630588169890,-15.09
1630588169906,-18.07
1630588169921,-20.83
1630588169937,-22.76
1630588169953,-23.16
1630588169968,-21.48
1630588169984,-17.5
1630588170000,-11.56
1630588170015,-4.42
1630588170031,2.95
1630588170046,9.64
1630588170062,15.17
1630588170078,19.48
1630588170093,22.83
1630588170109,25.52
1630588170125,27.71
1630588170140,29.34
1630588170156,30.23
1630588170171,30.26
1630588170187,29.45
1630588170203,28.0
1630588170218,26.27
1630588170234,24.55
1630588170250,23.12
1630588170265,22.1
1630588170281,21.49
1630588170296,21.24
1630588170312,21.21
1630588170328,21.25
1630588170343,21.21
1630588170359,20.96
1630588170375,20.4
1630588170390,19.43
1630588170406,17.94
1630588170421,15.81
1630588170437,13.04
1630588170453,9.74
1630588170468,6.19
1630588170484,2.71
1630588170500,-0.45
