timestamp,hr
1629456577000,78.6
1629456578000,78.8
1629456579000,78.93
1629456580000,79.05
1629456581000,79.18
1629456582000,79.28
1629456583000,79.38
1629456584000,79.37
1629456585000,79.4
1629456586000,79.45
1629456587000,79.5
1629456588000,79.55
1629456589000,79.53
1629456590000,79.43
1629456591000,79.38
1629456592000,79.35
1629456593000,79.38
1629456594000,79.42
1629456595000,79.45
1629456596000,79.43
1629456597000,79.43
1629456598000,79.47
1629456599000,79.48
1629456600000,79.52
1629456601000,79.53
1629456602000,79.57
1629456603000,79.63
1629456604000,79.63
1629456605000,79.77
1629456606000,79.88
1629456607000,80.02
1629456608000,80.15
1629456609000,80.27
1629456610000,80.33
1629456611000,80.42
1629456612000,80.52
1629456613000,80.6
1629456614000,80.67
1629456615000,80.73
1629456616000,80.8
1629456617000,80.87
1629456618000,80.95
1629456619000,81.0
1629456620000,81.0
1629456621000,80.92
1629456622000,80.63
1629456623000,80.35
1629456624000,80.02
1629456625000,79.6
1629456626000,79.22
1629456627000,78.83
1629456628000,78.42
1629456629000,78.07
1629456630000,77.72
1629456631000,77.47
1629456632000,77.28
1629456633000,77.1
1629456634000,76.95
1629456635000,76.8
1629456636000,76.67
1629456637000,76.57
1629456638000,76.52
1629456639000,76.52
1629456640000,76.57
1629456641000,76.6
1629456642000,76.65
1629456643000,76.68
1629456644000,76.68
1629456645000,76.62
1629456646000,76.57
1629456647000,76.5
1629456648000,76.4
1629456649000,76.32
1629456650000,76.23
1629456651000,76.08
1629456652000,75.92
1629456653000,75.68
1629456654000,75.47
1629456655000,75.22
1629456656000,75.02
1629456657000,74.82
1629456658000,74.65
1629456659000,74.5
1629456660000,74.37
1629456661000,74.23
1629456662000,74.07
1629456663000,73.87
1629456664000,73.63
1629456665000,73.37
1629456666000,73.15
1629456667000,72.9
1629456668000,72.65
1629456669000,72.4
1629456670000,72.15
1629456671000,71.95
1629456672000,71.8
1629456673000,71.65
1629456674000,71.52
1629456675000,71.38
1629456676000,71.25
1629456677000,71.13
1629456678000,71.05
1629456679000,70.98
1629456680000,70.93
1629456681000,70.87
1629456682000,70.85
1629456683000,70.85
1629456684000,70.88
1629456685000,70.95
1629456686000,71.0
1629456687000,71.05
1629456688000,71.12
1629456689000,71.18
1629456690000,71.22
1629456691000,71.25
1629456692000,71.28
1629456693000,71.3
1629456694000,71.37
1629456695000,71.42
1629456696000,71.45
1629456697000,71.47
1629456698000,71.43
1629456699000,71.33
1629456700000,71.23
1629456701000,71.15
1629456702000,71.08
1629456703000,71.02
1629456704000,70.98
1629456705000,70.98
1629456706000,70.95
1629456707000,70.95
1629456708000,70.98
1629456709000,71.03
1629456710000,71.05
1629456711000,71.07
1629456712000,71.05
1629456713000,71.08
1629456714000,71.07
1629456715000,71.02
1629456716000,70.95
1629456717000,70.87
1629456718000,70.75
1629456719000,70.62
1629456720000,70.75
1629456721000,70.9
1629456722000,71.07
1629456723000,71.23
1629456724000,71.42
1629456725000,71.68
1629456726000,71.9
1629456727000,72.13
1629456728000,72.4
1629456729000,72.68
1629456730000,72.97
1629456731000,73.2
1629456732000,73.37
1629456733000,73.55
1629456734000,73.72
